collision_id,crash_date,crash_time,on_street_name,cross_street_name,off_street_name,borough,zip_code,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,longitude,latitude
4521858,2022-04-24,21:40,JAMAICA AVENUE,102 STREET,,QUEENS,11418,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,-73.845406,40.695156
4522242,2022-04-07,14:14,1 AVENUE,EAST 41 STREET,,MANHATTAN,10017,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-73.97033,40.748158
4456672,2021-06-29,17:35,BEACH CHANNEL DRIVE,,,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,-73.75372,40.609535
4485150,2021-12-09,20:20,EAST 7 STREET,CRAWFORD AVENUE,,BROOKLYN,11223,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,-73.96299,40.59207
4485116,2021-12-09,14:50,WEST 177 STREET,,,,,0,0,0,0,0,0,0,0,Unspecified,-73.9107,40.850018
4485026,2021-12-09,2:45,149 AVENUE,HUXLEY STREET,,QUEENS,11422,1,0,0,0,0,0,1,0,Alcohol Involvement,-73.73895,40.653023
4485528,2021-12-06,22:16,AVENUE J,,,,,0,0,0,0,0,0,0,0,Unsafe Speed,-73.9564,40.62573
4485333,2021-12-04,12:00,CROWN STREET,SCHENECTADY AVENUE,,BROOKLYN,11213,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-73.934235,40.665375
4485234,2021-12-08,16:20,EAST END AVENUE,EAST 88 STREET,,MANHATTAN,10128,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,-73.943825,40.776237
4485355,2021-12-09,23:15,12 AVENUE,41 STREET,,BROOKLYN,11218,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,-73.98967,40.640835
4485581,2021-12-01,14:34,,,437       BEACH 68 STREET,QUEENS,11692,0,0,0,0,0,0,0,0,Unsafe Speed,-73.797264,40.593636
4485866,2021-12-10,7:00,,,122-42    134 STREET,QUEENS,11420,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,-73.80453,40.674263
4485192,2021-12-07,9:20,TAYLOR STREET,,,,,0,0,0,0,0,0,0,0,Steering Failure,-73.96491,40.70476
4485214,2021-12-09,8:00,WEST SHORE EXPRESSWAY,,,,,0,0,0,0,0,0,0,0,Following Too Closely,-74.190735,40.569626
4485437,2021-12-07,17:08,FLUSHING AVENUE,KENT AVENUE,,BROOKLYN,11205,0,0,0,0,0,0,0,0,Following Too Closely,-73.960205,40.698463
4485408,2021-12-05,8:20,,,393       ROCKAWAY PARKWAY,BROOKLYN,11212,0,0,0,0,0,0,0,0,Unspecified,-73.9171,40.658413
4484852,2021-12-08,19:30,,,127       EAST 58 STREET,MANHATTAN,10022,1,0,0,0,1,0,0,0,Following Too Closely,-73.96899,40.76175
4485542,2021-12-08,12:00,,,44        WEST 14 STREET,MANHATTAN,10011,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,-73.9951,40.736614
4485170,2021-12-10,8:06,FLATBUSH AVENUE,GRAND ARMY PLAZA,,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,,
4485523,2021-12-08,19:30,OCEAN PARKWAY,,,,,4,0,0,0,0,0,4,0,Unsafe Speed,,
4484906,2021-12-08,22:37,,,288       MANOR ROAD,STATEN ISLAND,10314,0,0,0,0,0,0,0,0,Pavement Slippery,-74.12385,40.62121
4485036,2021-12-08,17:56,MAJOR DEEGAN EXPRESSWAY,,,,,0,0,0,0,0,0,0,0,Unspecified,-73.90593,40.873737
4485772,2021-12-07,7:50,CARROLL STREET,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-73.95076,40.66718
