collision_id,crash_date,crash_time,street_name,borough,county,zip_code,latitude,longitude,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle
4456672,2021-06-29,17:35,Beach Channel Drive,Queens,Queens County,11693,40.609535,-73.75372,0,0,0,0,0,0,0,0,Passing Or Lane Usage Improper
4485150,2021-12-09,20:20,East 7 Street & Crawford Avenue,Brooklyn,Kings County,11223,40.59207,-73.96299,1,0,0,0,1,0,0,0,Driver Inattention/Distraction
4485116,2021-12-09,14:50,West 177 Street,Bronx,New York County,10024,40.850018,-73.9107,0,0,0,0,0,0,0,0,Unspecified
4485026,2021-12-09,2:45,149 Avenue & Huxley Street,Queens,Queens County,11422,40.653023,-73.73895,1,0,0,0,0,0,1,0,Alcohol Involvement
4485528,2021-12-06,22:16,Avenue J,Brooklyn,Kings County,11234,40.62573,-73.9564,0,0,0,0,0,0,0,0,Unsafe Speed
4485333,2021-12-04,12:00,Crown Street & Schenectady Avenue,Brooklyn,Kings County,11213,40.665375,-73.934235,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4485234,2021-12-08,16:20,East End Avenue & East 88 Street,Manhattan,New York County,10128,40.776237,-73.943825,0,0,0,0,0,0,0,0,Failure To Yield Right-Of-Way
4485355,2021-12-09,23:15,12 Avenue & 41 Street,Brooklyn,Kings County,11218,40.640835,-73.98967,1,0,0,0,1,0,0,0,Driver Inattention/Distraction
4485581,2021-12-01,14:34,437       Beach 68 Street,Queens,Queens County,11692,40.593636,-73.797264,0,0,0,0,0,0,0,0,Unsafe Speed
4485866,2021-12-10,7:00,122-42    134 Street,Queens,Queens County,11420,40.674263,-73.80453,0,0,0,0,0,0,0,0,Passing Or Lane Usage Improper
4485192,2021-12-07,9:20,Taylor Street,Staten Island,Richmond County,11211,40.70476,-73.96491,0,0,0,0,0,0,0,0,Steering Failure
4485214,2021-12-09,8:00,West Shore Expressway,Staten Island,Richmond County,10311,40.569626,-74.190735,0,0,0,0,0,0,0,0,Following Too Closely
4485437,2021-12-07,17:08,Flushing Avenue & Kent Avenue,Brooklyn,Kings County,11205,40.698463,-73.960205,0,0,0,0,0,0,0,0,Following Too Closely
4485408,2021-12-05,8:20,393       Rockaway Parkway,Brooklyn,Kings County,11212,40.658413,-73.9171,0,0,0,0,0,0,0,0,Unspecified
4484852,2021-12-08,19:30,127       East 58 Street,Manhattan,New York County,10022,40.76175,-73.96899,1,0,0,0,1,0,0,0,Following Too Closely
4485542,2021-12-08,12:00,44        West 14 Street,Manhattan,New York County,10011,40.736614,-73.9951,1,0,0,0,1,0,0,0,Passing Or Lane Usage Improper
4485170,2021-12-10,8:06,Flatbush Avenue & Grand Army Plaza,Brooklyn,Kings County,11238,40.6722889,-73.9690022,0,0,0,0,0,0,0,0,Unsafe Lane Changing
4485523,2021-12-08,19:30,Ocean Parkway,Brooklyn,Kings County,11224,40.6447512,-73.9744601,4,0,0,0,0,0,4,0,Unsafe Speed
4484906,2021-12-08,22:37,288       Manor Road,Staten Island,Richmond County,10314,40.62121,-74.12385,0,0,0,0,0,0,0,0,Pavement Slippery
4485036,2021-12-08,17:56,Major Deegan Expressway,Bronx,Bronx County,10453,40.873737,-73.90593,0,0,0,0,0,0,0,0,Unspecified
4485772,2021-12-07,7:50,Carroll Street,Brooklyn,Kings County,11215,40.66718,-73.95076,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4485565,2021-12-08,0:44,23 Street & 40 Avenue,Queens,Queens County,11101,40.754295,-73.93946,0,0,0,0,0,0,0,0,View Obstructed/Limited
4484836,2021-12-08,15:00,Avenue Y,Brooklyn,Kings County,11234,40.588116,-73.97261,0,0,0,0,0,0,0,0,Passing Too Closely
4485340,2021-12-10,11:00,2123      Lurting Avenue,Bronx,Bronx County,10461,40.854935,-73.85822,0,0,0,0,0,0,0,0,Oversized Vehicle
4485706,2021-12-10,1:10,Schenectady Avenue,Brooklyn,Kings County,11203,40.662575,-73.93448,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4485384,2021-12-09,0:00,47 Road,Queens,Kings County,11225,40.7448,-73.953415,1,0,1,0,0,0,0,0,Unspecified
4484799,2021-12-08,18:36,Henry Hudson Parkway,Manhattan,New York County,10034,40.79672,-73.97618,0,0,0,0,0,0,0,0,Passing Or Lane Usage Improper
4485077,2021-12-09,20:30,269-01    76 Avenue,Queens,Queens County,11004,40.752777,-73.70743,0,0,0,0,0,0,0,0,Illnes
4485090,2021-12-09,10:13,Kings Highway & Farragut Road,Brooklyn,Kings County,11203,40.638523,-73.92607,2,0,0,0,0,0,2,0,Traffic Control Disregarded
4513697,2022-03-26,14:00,Corson Avenue & Westervelt Avenue,Staten Island,Richmond County,10301,40.637833,-74.08193,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4513935,2022-03-26,1:02,West 101 Street & Broadway,Manhattan,Kings County,10025,40.797836,-73.96946,1,0,0,0,0,0,1,0,Traffic Control Disregarded
4513794,2022-03-26,16:02,Queens Boulevard & 57 Avenue,Queens,Queens County,11373,40.734375,-73.87342,1,0,0,0,0,0,1,0,Lost Consciousness
4514267,2022-03-26,16:05,115 Avenue & 221 Street,Queens,Queens County,11411,40.699947,-73.736626,1,0,0,0,0,0,1,0,Following Too Closely
4514237,2022-03-21,12:05,515       West 36 Street,Manhattan,New York County,10018,40.75632,-73.999275,1,0,0,0,0,0,1,0,Following Too Closely
4513470,2022-03-26,5:13,131 Street & Atlantic Avenue,Queens,Queens County,11418,40.69614,-73.81789,0,0,0,0,0,0,0,0,Failure To Yield Right-Of-Way
4513751,2022-03-26,17:42,935       East 58 Street,Brooklyn,Kings County,11234,40.631687,-73.9205,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4514075,2022-03-26,12:18,Laconia Avenue & East 231 Street,Bronx,Bronx County,10466,40.88839,-73.84666,2,0,0,0,0,0,2,0,Failure To Yield Right-Of-Way
4513857,2022-03-26,20:10,1706      Holland Avenue,Bronx,Bronx County,10462,40.844425,-73.8639,0,0,0,0,0,0,0,0,Unspecified
4514202,2022-03-26,15:45,White Plains Road & Cross Bronx Expressway,Bronx,Kings County,10472,40.833965,-73.8629,2,0,0,0,0,0,2,0,Alcohol Involvement
4514347,2022-03-26,17:55,Manhattan Avenue & Boerum Street,Brooklyn,Kings County,11206,40.705738,-73.944695,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4513495,2022-03-26,0:50,Avenue N & East 102 Street,Brooklyn,New York County,11236,40.637905,-73.8878,0,0,0,0,0,0,0,0,Unsafe Speed
4513874,2022-03-26,14:05,2067      Nostrand Avenue,Brooklyn,Kings County,11210,40.635063,-73.94788,1,0,0,0,0,0,1,0,Unsafe Speed
4514263,2022-03-26,9:30,Bruckner Boulevard & East 137 Street,Bronx,Bronx County,10454,40.804153,-73.91304,0,0,0,0,0,0,0,0,Unspecified
4514323,2022-03-10,8:30,Prospect Place & Grand Avenue,Brooklyn,Kings County,11238,40.676403,-73.96287,4,0,0,0,0,0,4,0,Other Vehicular
4514182,2022-03-24,23:00,Watson Avenue & Castle Hill Avenue,Bronx,Bronx County,10472,40.829777,-73.85055,1,0,1,0,0,0,0,0,Unspecified
4513515,2022-03-26,7:36,Fort Hamilton Parkway & 97 Street,Brooklyn,Kings County,11209,40.613926,-74.030174,0,0,0,0,0,0,0,0,Brakes Defective
4513663,2022-03-26,11:50,East 94 Street & Avenue M,Brooklyn,Kings County,11236,40.635563,-73.89577,2,0,2,0,0,0,0,0,Failure To Yield Right-Of-Way
4513953,2022-03-26,17:42,114 Street & Sutter Avenue,Queens,Queens County,11420,40.675167,-73.825264,0,0,0,0,0,0,0,0,Passing Too Closely
4513985,2022-03-26,1:45,East 62 Street & 1 Avenue,Manhattan,New York County,10065,40.761486,-73.96061,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4514084,2022-03-26,17:00,98        South 4 Street,Brooklyn,Kings County,11249,40.712284,-73.964005,0,0,0,0,0,0,0,0,Passing Or Lane Usage Improper
4514144,2022-02-25,11:48,Jamaica Avenue & 165 Street,Queens,Queens County,11432,40.70546,-73.7949,0,0,0,0,0,0,0,0,Following Too Closely
4513606,2022-03-26,22:51,West 30 Street,Manhattan,New York County,10011,40.74967,-73.99531,1,0,1,0,0,0,0,0,Failure To Yield Right-Of-Way
4513564,2022-03-26,8:21,Saint Nicholas Avenue & West 159 Street,Manhattan,New York County,10032,40.833786,-73.94037,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4514412,2022-03-17,8:00,139 Street,Manhattan,New York County,10002,40.67794,-73.8023,1,0,0,0,0,0,1,0,Traffic Control Disregarded
4513587,2022-03-26,10:30,736       56 Street,Brooklyn,Kings County,11220,40.637985,-74.0076,0,0,0,0,0,0,0,0,Backing Unsafely
4487185,2021-12-16,9:23,Jackie Robinson Expy & Jamaica Avenue,Brooklyn,Kings County,11207,40.68295,-73.9708,0,0,0,0,0,0,0,0,Unspecified
4513565,2022-03-26,13:48,1016      Saint Nicholas Avenue,Manhattan,New York County,10032,40.835037,-73.93979,1,0,1,0,0,0,0,0,
4514286,2022-03-25,9:56,East 241 Street,Bronx,Bronx County,11203,40.9046,-73.852936,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4513637,2022-03-26,23:45,47 Street & Greenpoint Avenue,Queens,Queens County,11104,40.742508,-73.91788,1,0,0,0,0,0,1,0,Driver Inattention/Distraction
4513528,2022-03-26,1:26,Gowanus Ramp,Brooklyn,Kings County,11375,40.644985,-74.017402,0,0,0,0,0,0,0,0,Unsafe Speed
4514139,2022-03-22,9:07,Grand Avenue & Greene Avenue,Brooklyn,Kings County,11238,40.6870667,-73.9621433,1,0,1,0,0,0,0,0,Aggressive Driving/Road Rage
4513833,2022-03-26,16:00,Sutter Avenue & Schenck Avenue,Brooklyn,Kings County,11207,40.67046,-73.88788,1,0,0,0,0,0,1,0,Driver Inattention/Distraction
4513887,2022-03-26,23:17,Essex Street & East Houston Street,Manhattan,New York County,10002,40.72224,-73.9863,1,0,0,0,0,0,1,0,Following Too Closely
4514160,2022-03-23,9:00,Flatbush Avenue,Brooklyn,Kings County,11234,40.67639,-73.97189,1,0,0,0,0,0,1,0,Traffic Control Disregarded
4514002,2022-03-26,5:00,Bronx River Parkway,Bronx,Bronx County,10467,40.88893,-73.86579,0,0,0,0,0,0,0,0,Following Too Closely
4514152,2022-03-25,6:15,East 120 Street,Manhattan,New York County,11203,40.80118,-73.93975,1,0,0,0,0,0,1,0,Traffic Control Disregarded
4513626,2022-03-26,21:50,Fdr Drive,Manhattan,New York County,10128,40.757668,-73.95915,1,0,0,0,0,0,1,0,Driver Inattention/Distraction
4513774,2022-03-26,21:25,200       Rogers Avenue,Brooklyn,Kings County,11225,40.668896,-73.95339,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4514376,2022-03-25,18:13,604       East 2 Street,Brooklyn,Kings County,11218,40.63654,-73.97707,2,0,0,0,0,0,2,0,Unspecified
4513982,2022-03-26,20:10,East 168 Street & 3 Avenue,Bronx,Bronx County,10456,40.831055,-73.905846,1,0,1,0,0,0,0,0,Unspecified
4514220,2022-03-25,12:55,Grand Concourse,Bronx,Bronx County,10467,40.85868,-73.89922,0,0,0,0,0,0,0,0,Passing Too Closely
4514413,2022-03-23,11:00,Gulf Avenue,Staten Island,Richmond County,10311,40.62466,-74.17856,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4513664,2022-03-26,3:05,Avenue J & East 92 Street,Brooklyn,New York County,11236,40.63947,-73.902756,1,0,0,0,0,0,1,0,Unspecified
4513725,2022-03-26,4:34,West Fordham Road & Cedar Avenue,Bronx,Bronx County,10468,40.86173,-73.91182,1,0,0,0,0,0,1,0,Unspecified
4514298,2022-03-26,19:56,11        Metrotech Center,Brooklyn,Kings County,11201,40.69538,-73.985115,0,0,0,0,0,0,0,0,Unspecified
4513573,2022-03-26,12:40,65 Street & Fort Hamilton Parkway,Brooklyn,Kings County,11219,40.63063,-74.00923,0,0,0,0,0,0,0,0,Unspecified
4514201,2022-03-26,1:58,1670      Watson Avenue,Bronx,Bronx County,10472,40.82707,-73.87075,0,0,0,0,0,0,0,0,Turning Improperly
4514030,2022-03-26,19:56,Gerritsen Avenue & Avenue S,Brooklyn,Kings County,11229,40.60548,-73.93922,0,0,0,0,0,0,0,0,Unspecified
4514125,2022-03-26,0:30,Madison Street & Central Avenue,Brooklyn,Queens County,11221,40.692593,-73.91551,0,0,0,0,0,0,0,0,Unspecified
4514194,2022-03-16,15:44,49 Street & 5 Avenue,Manhattan,New York County,10017,40.7127281,-74.0060152,1,0,1,0,0,0,0,0,Unspecified
4514278,2022-03-26,20:05,Bushwick Avenue & Conway Street,Brooklyn,Kings County,11207,40.680664,-73.902626,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4513803,2022-03-26,17:54,168       East 29 Street,Brooklyn,New York County,11226,40.645718,-73.95002,4,0,0,0,0,0,4,0,Passing Too Closely
4514241,2022-03-25,17:55,Nostrand Avenue,Brooklyn,Kings County,11235,40.68327,-73.95016,0,0,0,0,0,0,0,0,Traffic Control Disregarded
4487210,2021-12-12,9:09,Jerome Avenue,Bronx,Bronx County,10468,40.84036,-73.91807,0,1,0,1,0,0,0,0,Unspecified
4407811,2021-04-13,16:00,Vandervort Avenue & Anthony Street,Brooklyn,Kings County,11222,40.68295,-73.9708,0,0,0,0,0,0,0,0,Following Too Closely
4456746,2021-08-05,18:17,Verrazano Bridge,Brooklyn,Kings County,11238,40.68295,-73.9708,0,0,0,0,0,0,0,0,Glare
4513878,2022-03-26,16:35,3071      Brighton 4 Street,Brooklyn,Kings County,11235,40.577652,-73.96344,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
